🕘️更新时间,#genre#
CCTV-4K,http://180.165.7.10:4022/rtp/233.18.204.204:5140
CCTV-4K,http://180.165.7.10:4022/rtp/233.18.204.188:5140
CCTV-4K,http://14.154.191.61:4022/rtp/239.77.1.180:5146
CCTV-4K,http://14.154.191.61:4022/rtp/239.77.0.31:5146
CETV-1,http://180.165.7.10:4022/rtp/233.18.204.98:5140
CETV-1,http://14.154.191.61:4022/rtp/239.77.0.200:5146
CETV-1,http://123.118.230.51:9090/rtp/239.3.1.57:8152
CETV-1,http://14.154.191.61:4022/rtp/239.77.1.222:5146
CETV-2,http://123.118.230.51:9090/rtp/239.3.1.54:4120
CETV-2,http://14.154.191.61:4022/rtp/239.77.1.69:5146
CETV-2,http://14.154.191.61:4022/rtp/239.77.0.28:5146
CETV-4,http://180.165.7.10:4022/rtp/233.18.204.111:5140
CETV-4,http://14.154.191.61:4022/rtp/239.253.43.114:5146
CETV-4,http://14.154.191.61:4022/rtp/239.253.43.40:5146
CETV-4,http://123.118.230.51:9090/rtp/239.3.1.56:4120
CGTN,http://123.118.230.51:9090/rtp/239.3.1.215:4220
CGTN,http://14.154.191.61:4022/rtp/239.77.1.27:5146
CGTN,http://14.154.191.61:4022/rtp/239.77.0.199:5146
CGTN,http://14.154.191.61:4022/rtp/239.77.0.45:5146
风云足球,http://14.154.191.61:4022/rtp/239.253.43.14:5146
风云足球,http://180.165.7.10:4022/rtp/233.18.204.176:5140
风云足球,http://14.154.191.61:4022/rtp/239.253.43.20:5146
高尔夫网球,http://14.154.191.61:4022/rtp/239.253.43.12:5146
高尔夫网球,http://180.165.7.10:4022/rtp/233.18.204.181:5140
高尔夫网球,http://14.154.191.61:4022/rtp/239.253.43.22:5146

北京频道,#genre#
北京文艺,http://123.118.230.51:9090/rtp/239.3.1.242:8000
北京纪实科教,http://123.118.230.51:9090/rtp/239.3.1.115:8000
北京影视,http://123.118.230.51:9090/rtp/239.3.1.158:8000
北京财经,http://123.118.230.51:9090/rtp/239.3.1.116:8000
北京生活,http://123.118.230.51:9090/rtp/239.3.1.117:8000
北京体育休闲,http://123.118.230.51:9090/rtp/239.3.1.243:8000
北京新闻,http://123.118.230.51:9090/rtp/239.3.1.159:8000
北京国际,http://123.118.230.51:9090/rtp/239.3.1.235:8000
睛彩篮球,http://123.118.230.51:9090/rtp/239.3.1.126:8001
睛彩篮球,http://14.154.191.61:4022/rtp/239.77.1.21:5146
睛彩竞技,http://123.118.230.51:9090/rtp/239.3.1.125:8001
睛彩竞技,http://14.154.191.61:4022/rtp/239.77.1.20:5146

📡卫视频道,#genre#
广东卫视4K,http://14.154.191.61:4022/rtp/239.77.0.66:5146
广东卫视4K,http://14.154.191.61:4022/rtp/239.77.0.65:5146
广东卫视4K,http://180.165.7.10:4022/rtp/233.18.204.218:5140
广东卫视4K,http://14.154.191.61:4022/rtp/239.77.0.27:5146
广东卫视4K,http://123.118.230.51:9090/rtp/239.3.1.203:2000
浙江卫视4K,http://14.154.191.61:4022/rtp/239.77.0.58:5146
浙江卫视4K,http://123.118.230.51:9090/rtp/239.3.1.114:3004
浙江卫视4K,http://180.165.7.10:4022/rtp/233.18.204.229:5140
湖北卫视,http://14.154.191.61:4022/rtp/239.77.0.128:5146
湖北卫视,http://123.118.230.51:9090/rtp/239.3.1.138:8044
湖北卫视,http://14.154.191.61:4022/rtp/239.77.0.95:5146
湖北卫视,http://14.154.191.61:4022/rtp/239.77.1.93:5146
湖北卫视,http://14.154.191.61:4022/rtp/239.77.1.174:5146
黑龙江卫视,http://123.118.230.51:9090/rtp/239.3.1.133:8016
黑龙江卫视,http://14.154.191.61:4022/rtp/239.77.1.179:5146
黑龙江卫视,http://14.154.191.61:4022/rtp/239.77.0.93:5146
黑龙江卫视,http://14.154.191.61:4022/rtp/239.77.1.6:5146
黑龙江卫视,http://14.154.191.61:4022/rtp/239.77.0.124:5146
安徽卫视,http://123.118.230.51:9090/rtp/239.3.1.211:8064
安徽卫视,http://14.154.191.61:4022/rtp/239.77.0.183:5146
安徽卫视,http://14.154.191.61:4022/rtp/239.77.1.92:5146
重庆卫视,http://123.118.230.51:9090/rtp/239.3.1.122:8160
重庆卫视,http://14.154.191.61:4022/rtp/239.77.0.182:5146
重庆卫视,http://14.154.191.61:4022/rtp/239.77.1.162:5146
东方卫视4K,http://14.154.191.61:4022/rtp/239.77.0.59:5146
东方卫视4K,http://180.165.7.10:4022/rtp/233.18.204.224:5140
东方卫视4K,http://123.118.230.51:9090/rtp/239.3.1.119:3006
东南卫视,http://123.118.230.51:9090/rtp/239.3.1.156:8148
东南卫视,http://14.154.191.61:4022/rtp/239.77.1.104:5146
东南卫视,http://14.154.191.61:4022/rtp/239.77.0.146:5146
广西卫视,http://14.154.191.61:4022/rtp/239.77.0.139:5146
广西卫视,http://123.118.230.51:9090/rtp/239.3.1.39:8300
广西卫视,http://14.154.191.61:4022/rtp/239.253.43.36:5146
甘肃卫视,http://14.154.191.61:4022/rtp/239.77.0.189:5146
甘肃卫视,http://14.154.191.61:4022/rtp/239.77.1.57:5146
贵州卫视,http://123.118.230.51:9090/rtp/239.3.1.149:8076
贵州卫视,http://14.154.191.61:4022/rtp/239.77.0.230:5146
贵州卫视,http://14.154.191.61:4022/rtp/239.77.1.221:5146
河北卫视,http://123.118.230.51:9090/rtp/239.3.1.148:8072
河北卫视,http://14.154.191.61:4022/rtp/239.77.0.148:5146
河北卫视,http://14.154.191.61:4022/rtp/239.77.1.214:5146
海南卫视,http://14.154.191.61:4022/rtp/239.253.43.35:5146
海南卫视,http://14.154.191.61:4022/rtp/239.253.43.101:5146
河南卫视,http://123.118.230.51:9090/rtp/239.3.1.50:8184
河南卫视,http://14.154.191.61:4022/rtp/239.77.0.17:5146
河南卫视,http://14.154.191.61:4022/rtp/239.77.1.229:5146
吉林卫视,http://123.118.230.51:9090/rtp/239.3.1.240:8172
吉林卫视,http://14.154.191.61:4022/rtp/239.77.1.111:5146
吉林卫视,http://14.154.191.61:4022/rtp/239.77.0.150:5146
江苏卫视4K,http://14.154.191.61:4022/rtp/239.77.0.57:5146
江苏卫视4K,http://180.165.7.10:4022/rtp/233.18.204.226:5140
江苏卫视4K,http://123.118.230.51:9090/rtp/239.3.1.113:3003
江西卫视,http://14.154.191.61:4022/rtp/239.77.0.149:5146
江西卫视,http://14.154.191.61:4022/rtp/239.77.1.219:5146
江西卫视,http://123.118.230.51:9090/rtp/239.3.1.123:8164
辽宁卫视,http://123.118.230.51:9090/rtp/239.3.1.210:8056
辽宁卫视,http://14.154.191.61:4022/rtp/239.77.1.103:5146
辽宁卫视,http://14.154.191.61:4022/rtp/239.77.0.123:5146
内蒙古卫视,http://123.118.230.51:9090/rtp/239.3.1.43:8176
内蒙古卫视,http://14.154.191.61:4022/rtp/239.77.0.70:5146
内蒙古卫视,http://14.154.191.61:4022/rtp/239.77.1.55:5146
宁夏卫视,http://14.154.191.61:4022/rtp/239.77.0.49:5146
宁夏卫视,http://14.154.191.61:4022/rtp/239.77.1.246:5146
宁夏卫视,http://14.154.191.61:4022/rtp/239.77.1.28:5146
宁夏卫视,http://14.154.191.61:4022/rtp/239.77.0.73:5146
青海卫视,http://123.118.230.51:9090/rtp/239.3.1.44:8184
青海卫视,http://14.154.191.61:4022/rtp/239.77.1.70:5146
青海卫视,http://14.154.191.61:4022/rtp/239.253.43.125:5146
山东卫视4K,http://123.118.230.51:9090/rtp/239.3.1.144:3005
山东卫视4K,http://180.165.7.10:4022/rtp/233.18.204.228:5140
山东卫视4K,http://14.154.191.61:4022/rtp/239.77.0.61:5146
山西卫视,http://123.118.230.51:9090/rtp/239.3.1.42:8172
山西卫视,http://14.154.191.61:4022/rtp/239.77.0.69:5146
山西卫视,http://14.154.191.61:4022/rtp/239.77.1.74:5146
陕西卫视,http://123.118.230.51:9090/rtp/239.3.1.41:8140
陕西卫视,http://14.154.191.61:4022/rtp/239.77.1.54:5146
陕西卫视,http://14.154.191.61:4022/rtp/239.77.0.68:5146
深圳卫视4K,http://14.154.191.61:4022/rtp/239.77.0.67:5146
深圳卫视4K,http://180.165.7.10:4022/rtp/233.18.204.219:5140
深圳卫视4K,http://14.154.191.61:4022/rtp/239.77.1.14:5146
深圳卫视4K,http://123.118.230.51:9090/rtp/239.3.1.202:2000
三沙卫视,http://123.118.230.51:9090/rtp/239.3.1.155:4120
三沙卫视,http://14.154.191.61:4022/rtp/239.77.1.117:5146
三沙卫视,http://14.154.191.61:4022/rtp/239.253.43.113:5146
天津卫视,http://123.118.230.51:9090/rtp/239.3.1.141:1234
天津卫视,http://14.154.191.61:4022/rtp/239.77.1.141:5146
天津卫视,http://14.154.191.61:4022/rtp/239.77.0.97:5146
天津卫视,http://14.154.191.61:4022/rtp/239.77.0.131:5146
天津卫视,http://14.154.191.61:4022/rtp/239.77.1.182:5146
西藏卫视,http://14.154.191.61:4022/rtp/239.77.1.26:5146
西藏卫视,http://123.118.230.51:9090/rtp/239.3.1.166:8188
西藏卫视,http://14.154.191.61:4022/rtp/239.77.0.46:5146
西藏卫视,http://14.154.191.61:4022/rtp/239.77.0.74:5146
云南卫视,http://123.118.230.51:9090/rtp/239.3.1.26:8108
云南卫视,http://14.154.191.61:4022/rtp/239.253.43.100:5146
云南卫视,http://14.154.191.61:4022/rtp/239.253.43.37:5146
新疆卫视,http://14.154.191.61:4022/rtp/239.77.0.47:5146
新疆卫视,http://14.154.191.61:4022/rtp/239.77.1.25:5146
新疆卫视,http://14.154.191.61:4022/rtp/239.253.43.202:5146
新疆卫视,http://14.154.191.61:4022/rtp/239.77.0.75:5146
大湾区卫视,http://14.154.191.61:4022/rtp/239.77.0.215:5146
大湾区卫视,http://14.154.191.61:4022/rtp/239.77.1.12:5146

上海频道,#genre#
上海都市HD,http://180.165.7.10:4022/rtp/233.18.204.53:5140
第一财经HD,http://180.165.7.10:4022/rtp/233.18.204.59:5140
第一财经HD,http://180.165.7.10:4022/rtp/233.18.204.65:5140
上海新闻综合HD,http://180.165.7.10:4022/rtp/233.18.204.57:5140
五星体育HD,http://180.165.7.10:4022/rtp/233.18.204.58:5140
都市剧场HD,http://180.165.7.10:4022/rtp/233.18.204.48:5140

☘️广东频道,#genre#
广东珠江,http://14.154.191.61:4022/rtp/239.77.0.1:5146
广东珠江,http://14.154.191.61:4022/rtp/239.77.0.114:5146
广东珠江,http://14.154.191.61:4022/rtp/239.77.1.94:5146
广东体育,http://14.154.191.61:4022/rtp/239.77.1.97:5146
广东体育,http://14.154.191.61:4022/rtp/239.77.0.168:5146
广东体育,http://14.154.191.61:4022/rtp/239.77.0.112:5146
广东卫视,http://123.118.230.51:9090/rtp/239.3.1.142:8048
广东卫视,http://14.154.191.61:4022/rtp/239.77.0.84:5146
广东卫视,http://14.154.191.61:4022/rtp/239.77.1.152:5146
广东卫视,http://14.154.191.61:4022/rtp/239.77.0.166:5146
广东卫视,http://14.154.191.61:4022/rtp/239.77.1.19:5146
广东新闻,http://14.154.191.61:4022/rtp/239.77.0.173:5146
广东民生,http://14.154.191.61:4022/rtp/239.77.0.225:5146
广州综合,http://14.154.191.61:4022/rtp/239.253.43.71:5146
